SEXO;IDADE;RENDA;CODCBO;PROFISSAO;ESTADO_CIVIL
M;54;2020,63;782515;MOTORISTA OPER DE GUINCHO;SOLTEIRO(A)
F;34;2120,43;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;34;918,78;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;39;1202,48;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;39;2054,00;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;52;5104,12;252210;CONTADOR;SOLTEIRO(A)
M;55;1800,00;141115;GERENTE DE PROD E OP AGROPECUA;SOLTEIRO(A)
M;51;3487,32;142330;ANALISTA DE NEGOCIOS;CASADO(A)
F;43;2571,33;241010;ADVOGADO DE EMPRESA;SOLTEIRO(A)
M;38;2688,25;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;61;1013,03;514310;AUXILIAR DE MANUTENCAO PREDIAL;CASADO(A)
F;25;453,68;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;40;6987,50;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;SOLTEIRO(A)
M;32;1181,22;514310;AUXILIAR DE MANUTENCAO PREDIAL;SOLTEIRO(A)
M;59;17347,34;252210;CONTADOR;CASADO(A)
M;47;2568,90;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;44;1463,92;313105;ELETROTECNICO;SEPARADO(A) JUDICIALMENTE
M;27;440,19;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;35;1261,93;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;37;1398,63;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;39;1840,84;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;43;3424,31;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;34;802,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;38;4328,88;313105;ELETROTECNICO;CASADO(A)
M;51;2085,15;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;53;3409,76;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;27;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;41;9695,63;911305;MECANICO DE MANUTENÇÃO DE MAQUINAS, EM GERAL;CASADO(A)
M;43;2743,47;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;40;2565,73;252210;CONTADOR;SOLTEIRO(A)
M;31;3314,50;252725;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A)
M;46;1421,67;914425;MECANICO DE VEICULOS AUTOMOTOR;SEPARADO(A) JUDICIALMENTE
M;42;2071,94;313105;ELETROTECNICO;CASADO(A)
M;53;4082,72;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;50;3933,77;313105;ELETROTECNICO;CASADO(A)
M;33;4912,19;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;48;1353,48;414105;ALMOXARIFE;SOLTEIRO(A)
M;33;1354,31;313105;ELETROTECNICO;SOLTEIRO(A)
M;41;3520,63;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;46;1601,51;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;26;448,46;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;42;4223,93;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;34;2809,24;252210;CONTADOR;SOLTEIRO(A)
M;34;1542,23;318705;DESENHISTA PROJETISTA DE ELETR;CASADO(A)
F;44;4858,43;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;39;2542,55;521105;VENDEDOR EM COMERCIO ATACADIST;SEPARADO(A) JUDICIALMENTE
M;26;476,08;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;37;1491,26;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;48;3083,01;782515;MOTORISTA OPER DE GUINCHO;CASADO(A)
M;40;1276,72;411005;AUXILIAR DE ESCRITORIO, EM GER;CASADO(A)
M;31;1935,33;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;37;2347,50;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;23;542,49;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;48;2298,40;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;33;2904,92;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;22;530,90;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;41;1506,48;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;34;3107,43;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
F;24;542,49;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;50;3781,87;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;31;3216,05;252405;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A)
M;36;1971,49;313105;ELETROTECNICO;SOLTEIRO(A)
M;41;6840,49;212405;ANALISTA DE SISTEMA;CASADO(A)
M;52;1542,23;517410;PORTEIRO DE EDIFICIOS;CASADO(A)
M;37;1562,23;313105;ELETROTECNICO;CASADO(A)
M;32;2320,63;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;56;2347,50;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;49;1621,00;121010;DIRETOR GERAL DE EMPRESA E ORG;CASADO(A)
F;28;2548,25;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;31;5387,42;214320;ENGENHEIRO ELETRICISTA DE PROJ;SOLTEIRO(A)
M;31;3092,95;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;54;17977,28;142520;GERENTE DE PROJ DE TEC DA INFORMAÇÃO;CASADO(A)
M;40;2086,34;313105;ELETROTECNICO;OUTROS
M;40;4659,21;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;33;3553,08;910210;SUPERVISOR DA MANUT E REPAR DE;SOLTEIRO(A)
M;23;553,94;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;30;2709,62;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;32;1981,78;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;45;5436,69;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;46;1606,54;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;41;3558,42;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;44;1750,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
F;41;13764,78;241010;ADVOGADO DE EMPRESA;OUTROS
F;43;2377,93;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;28;2824,42;252105;ADMINISTRADOR;SOLTEIRO(A)
M;31;3237,76;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;47;2734,85;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;35;2631,83;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;33;2145,42;252210;CONTADOR;SOLTEIRO(A)
M;26;2139,94;414105;ALMOXARIFE;SOLTEIRO(A)
M;42;2234,19;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;45;5160,07;411010;ASSISTENTE ADMINISTRATIVO;DESQUITADO(A)
M;48;1624,44;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;21;604,83;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;30;1554,03;313105;ELETROTECNICO;CASADO(A)
M;41;3465,26;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;22;614,91;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;33;2403,50;212405;ANALISTA DE SISTEMA;SOLTEIRO(A)
M;39;2603,85;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
F;25;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;23;900,00;0;SEM CBO;SOLTEIRO(A)
M;36;3947,00;252210;CONTADOR;CASADO(A)
M;39;2231,00;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;CASADO(A)
M;42;2936,05;313105;ELETROTECNICO;CASADO(A)
M;32;1293,75;914425;MECANICO DE VEICULOS AUTOMOTOR;OUTROS
M;38;1702,13;414105;ALMOXARIFE;SOLTEIRO(A)
M;40;7056,88;214320;ENGENHEIRO ELETRICISTA DE PROJ;CASADO(A)
M;38;3589,12;313105;ELETROTECNICO;SEPARADO(A) JUDICIALMENTE
M;36;1322,25;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;48;3107,44;354205;COMPRADOR;CASADO(A)
F;36;3239,54;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;44;4725,99;520110;SUPERVISOR DE VENDAS COMERCIAL;CASADO(A)
M;48;1260,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;32;1814,30;414215;CONFERENTE DE CARGA E DESCARGA;SOLTEIRO(A)
M;53;5181,45;354125;ASSISTENTE DE VENDAS;OUTROS
M;34;3441,47;391145;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A)
F;57;2151,41;521105;VENDEDOR EM COMERCIO ATACADIST;OUTROS
M;24;5152,65;318705;DESENHISTA PROJETISTA DE ELETR;SOLTEIRO(A)
F;21;656,88;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;27;1563,27;313105;ELETROTECNICO;SOLTEIRO(A)
M;47;6238,00;391145;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A)
M;38;4611,47;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
F;41;13136,24;142405;GERENTE DE COMPRAS;SOLTEIRO(A)
F;29;3622,06;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;39;3870,74;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;51;1999,78;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;49;6279,36;410105;SUPERVISOR ADMINISTRATIVO;CASADO(A)
M;30;4435,57;410240;SUPERVISOR DE LOGÍSTICA;SOLTEIRO(A)
F;34;4295,67;252405;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A)
M;47;2824,42;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;26;1756,09;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;27;2273,80;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;37;3886,40;214320;ENGENHEIRO ELETRICISTA DE PROJ;SOLTEIRO(A)
M;49;3436,19;313105;ELETROTECNICO;SOLTEIRO(A)
M;26;3076,19;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;21;2491,02;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;44;3229,45;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;28;4590,42;253115;AGENTE PUBLICITARIO;SOLTEIRO(A)
M;41;2267,22;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;31;1588,02;914425;MECANICO DE VEICULOS AUTOMOTOR;SEPARADO(A) JUDICIALMENTE
M;32;3857,50;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;24;2224,25;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;44;2092,99;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;18;704,72;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;25;2824,42;318705;DESENHISTA PROJETISTA DE ELETR;SOLTEIRO(A)
F;35;6778,82;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;26;1649,90;414105;ALMOXARIFE;SOLTEIRO(A)
M;50;4753,04;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;CASADO(A)
M;27;2997,37;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;19;1757,76;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;34;4310,25;253405;ANALISTA DE MÍDIAS SOCIAIS;SOLTEIRO(A)
M;34;2643,19;782310;MOTORISTA DE FURGÃO OU VEÍCULO SIMILAR;SEPARADO(A) JUDICIALMENTE
M;40;4901,48;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;20;1722,33;414105;ALMOXARIFE;SOLTEIRO(A)
F;19;851,97;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;41;2700,00;621005;TRABALHADOR AGROPECUARIO EM GE;SOLTEIRO(A)
M;32;3532,98;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;24;2339,91;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
M;54;2070,50;517410;PORTEIRO DE EDIFICIOS;SEPARADO(A) JUDICIALMENTE
M;32;2306,18;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;47;6562,37;391145;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A)
M;47;3671,65;252725;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A)
F;41;3622,06;351605;TECNICO EM SEGURANCA DO TRABAL;SOLTEIRO(A)
M;42;4317,68;411010;ASSISTENTE ADMINISTRATIVO;OUTROS
M;44;5543,95;313105;ELETROTECNICO;SEPARADO(A) JUDICIALMENTE
M;34;3793,68;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
F;24;4619,51;253405;ANALISTA DE MÍDIAS SOCIAIS;SOLTEIRO(A)
M;38;4290,71;913120;MECÂNICO DE MANUTENÇÃO DE MÁQUIN;CASADO(A)
F;34;5958,43;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;37;3277,28;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;30;2447,87;414120;CONFERENTE MERC (EXCETO CARGA E DESC;SOLTEIRO(A)
F;43;4310,25;413105;ANALISTA DE FOLHA DE PAGAMENTO;SOLTEIRO(A)
M;24;3733,80;318705;DESENHISTA PROJETISTA DE ELETR;SOLTEIRO(A)
M;28;2374,85;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;43;16837,89;142320;GERENTE DE VENDAS;CASADO(A)
M;49;4054,41;914425;MECANICO DE VEICULOS AUTOMOTOR;OUTROS
M;37;12063,95;710205;MESTRE (CONSTRUÇÃO CIVIL);CASADO(A)
M;42;5167,61;214405;ENGENHEIRO MECANICO;CASADO(A)
M;45;2349,28;621005;TRABALHADOR AGROPECUARIO EM GE;CASADO(A)
M;32;2255,30;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;34;3051,33;342115;CONTROLADOR DE SERV DE MAQ E V;CASADO(A)
M;22;1573,96;414105;ALMOXARIFE;SOLTEIRO(A)
M;18;720,42;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;27;2444,00;351430;AUXILIAR DE SERVIÇOS JURÍDICOS;SOLTEIRO(A)
M;43;6020,10;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;20;2559,12;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
F;32;5829,06;413105;ANALISTA DE FOLHA DE PAGAMENTO;CASADO(A)
M;54;6621,16;214320;ENGENHEIRO ELETRICISTA DE PROJ;OUTROS
M;19;754,32;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;43;4175,38;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;29;2374,84;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;46;4223,96;212405;ANALISTA DE SISTEMA;CASADO(A)
M;23;2037,22;414215;CONFERENTE DE CARGA E DESCARGA;SOLTEIRO(A)
M;37;2146,29;914425;MECANICO DE VEICULOS AUTOMOTOR;OUTROS
M;24;2836,23;313105;ELETROTECNICO;SOLTEIRO(A)
M;21;2788,48;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;51;4400,95;313105;ELETROTECNICO;CASADO(A)
F;30;1650,00;411005;AUXILIAR DE ESCRITORIO, EM GER;CASADO(A)
M;22;1650,00;414105;ALMOXARIFE;SOLTEIRO(A)
M;39;2997,37;313105;ELETROTECNICO;SOLTEIRO(A)
F;46;4310,26;413105;ANALISTA DE FOLHA DE PAGAMENTO;OUTROS
M;46;13649,01;214320;ENGENHEIRO ELETRICISTA DE PROJ;CASADO(A)
M;38;5845,50;214305;ENGENHEIRO ELETRICISTA;CASADO(A)
M;36;10629,94;142330;ANALISTA DE NEGOCIOS;SOLTEIRO(A)
M;60;3523,45;520110;SUPERVISOR DE VENDAS COMERCIAL;CASADO(A)
F;47;1659,43;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;50;860,00;313105;ELETROTECNICO;SOLTEIRO(A)
M;62;2580,15;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;43;971,22;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;45;1490,29;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;33;2045,83;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;43;848,03;782510;MOTORISTA DE CAMINHAO;CASADO(A)
M;39;4958,76;354205;COMPRADOR;SOLTEIRO(A)
M;37;1924,38;252210;CONTADOR;SOLTEIRO(A)
M;67;6146,28;520110;SUPERVISOR DE VENDAS COMERCIAL;CASADO(A)
M;44;1291,02;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;38;5593,30;252405;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A)
M;57;910,92;411005;AUXILIAR DE ESCRITORIO, EM GER;SEPARADO(A) JUDICIALMENTE
M;62;2321,90;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;43;2488,98;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;44;2679,55;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
M;46;1602,92;782515;MOTORISTA OPER DE GUINCHO;CASADO(A)
M;59;1533,89;782515;MOTORISTA OPER DE GUINCHO;CASADO(A)
F;37;2456,65;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;49;6358,00;142520;GERENTE DE PROJ DE TEC DA INFORMAÇÃO;CASADO(A)
M;32;1286,38;414105;ALMOXARIFE;SOLTEIRO(A)
M;61;5418,24;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;OUTROS
F;44;2355,38;252210;CONTADOR;CASADO(A)
M;47;4519,89;520110;SUPERVISOR DE VENDAS COMERCIAL;CASADO(A)
M;55;3508,86;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;41;1760,27;914425;MECANICO DE VEICULOS AUTOMOTOR;SEPARADO(A) JUDICIALMENTE
M;61;2783,61;521105;VENDEDOR EM COMERCIO ATACADIST;OUTROS
M;31;724,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;39;1010,49;782305;MOTORISTA DE CARRO DE PASSEIO;CASADO(A)
M;51;1758,20;782515;MOTORISTA OPER DE GUINCHO;CASADO(A)
M;35;6784,82;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;CASADO(A)
M;46;2633,96;313105;ELETROTECNICO;CASADO(A)
M;62;1752,12;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;60;1242,05;992120;LAVADOR DE PECAS;CASADO(A)
M;31;1298,03;313105;ELETROTECNICO;SOLTEIRO(A)
F;36;1649,11;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;34;2217,31;241010;ADVOGADO DE EMPRESA;SOLTEIRO(A)
F;35;865,10;411005;AUXILIAR DE ESCRITORIO, EM GER;CASADO(A)
M;53;2569,80;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;46;4235,06;142705;GERENTE DE PROJETOS E SERVICOS DE MANUTE;CASADO(A)
M;37;2405,98;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;57;2289,40;914425;MECANICO DE VEICULOS AUTOMOTOR;CASADO(A)
M;48;2127,68;914425;MECANICO DE VEICULOS AUTOMOTOR;SOLTEIRO(A)
F;50;1565,33;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;39;10614,33;142320;GERENTE DE VENDAS;CASADO(A)
M;48;2003,25;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;39;1027,17;414105;ALMOXARIFE;SOLTEIRO(A)
M;53;1499,50;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
F;53;2355,38;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;32;1704,03;313105;ELETROTECNICO;CASADO(A)
M;41;1577,28;313105;ELETROTECNICO;SOLTEIRO(A)
M;53;5885,00;142320;GERENTE DE VENDAS;SOLTEIRO(A)
F;40;1567,21;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;34;2501,67;253115;AGENTE PUBLICITARIO;SOLTEIRO(A)
M;38;2211,52;313105;ELETROTECNICO;SEPARADO(A) JUDICIALMENTE
F;36;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;CASADO(A)
F;36;1628,11;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;38;1686,38;411030;AUXILIAR DE SETOR DE PESSOAL;SOLTEIRO(A)
M;39;1163,81;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
F;36;3631,92;411010;ASSISTENTE ADMINISTRATIVO;CASADO(A)
M;74;2250,00;121010;DIRETOR GERAL DE EMPRESA E ORG;DESQUITADO(A)
F;46;2520,28;521105;VENDEDOR EM COMERCIO ATACADIST;SOLTEIRO(A)
M;38;1851,00;521105;VENDEDOR EM COMERCIO ATACADIST;CASADO(A)
M;36;1863,29;411010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A)
M;31;900,00;411005;AUXILIAR DE ESCRITORIO, EM GER;SOLTEIRO(A)
M;34;3083,01;782515;MOTORISTA OPER DE GUINCHO;SOLTEIRO(A)
M;36;5072,17;521105;VENDEDOR EM COMERCIO ATACADIST;SEPARADO(A) JUDICIALMENTE
