SEXO;IDADE;RENDA;PROFISSAO;ESTADO_CIVIL;;
M;32;1821;ALMOXARIFE;SOLTEIRO(A);;
M;28;2139;ALMOXARIFE;CASADO(A);;
M;51;1860;ALMOXARIFE;CASADO(A);;
M;21;3400;ALMOXARIFE;SOLTEIRO(A);;
M;28;3486;ALMOXARIFE;SOLTEIRO(A);;
M;20;1813;ALMOXARIFE;SOLTEIRO(A);;
M;44;1186;ALMOXARIFE;SEPARADO(A) JUDICIALMENTE;;
M;45;1920;ALMOXARIFE;SOLTEIRO(A);;
M;32;1286;ALMOXARIFE;SOLTEIRO(A);;
M;37;1165;ALMOXARIFE;CASADO(A);;
M;41;2113;ALMOXARIFE;CASADO(A);;
M;33;1365;ALMOXARIFE;SOLTEIRO(A);;
M;45;1425;ALMOXARIFE;CASADO(A);;
M;31;1542;ALMOXARIFE;SOLTEIRO(A);;
M;30;1542;ALMOXARIFE;SOLTEIRO(A);;
M;23;1542;ALMOXARIFE;SOLTEIRO(A);;
M;35;2037;ALMOXARIFE;CASADO(A);;
M;42;963;ALMOXARIFE;SOLTEIRO(A);;
M;48;1353;ALMOXARIFE;SOLTEIRO(A);;
M;35;1513;ALMOXARIFE;CASADO(A);;
M;27;2139;ALMOXARIFE;SOLTEIRO(A);;
M;22;1684;ALMOXARIFE;SOLTEIRO(A);;
M;33;1550;ALMOXARIFE;SOLTEIRO(A);;
M;22;1813;ALMOXARIFE;SOLTEIRO(A);;
M;41;1310;ALMOXARIFE;SEPARADO(A) JUDICIALMENTE;;
M;28;1478;ALMOXARIFE;SOLTEIRO(A);;
M;46;1428;ALMOXARIFE;SOLTEIRO(A);;
M;32;1237;ALMOXARIFE;CASADO(A);;
M;41;1542;ALMOXARIFE;CASADO(A);;
M;31;1576;ALMOXARIFE;SOLTEIRO(A);;
M;40;2501;ALMOXARIFE;SOLTEIRO(A);;
M;37;1542;ALMOXARIFE;SOLTEIRO(A);;
M;30;1901;ALMOXARIFE;OUTROS;;
M;34;1493;ALMOXARIFE;CASADO(A);;
M;39;2050;ALMOXARIFE;CASADO(A);;
M;38;1702;ALMOXARIFE;SOLTEIRO(A);;
M;44;1940;ALMOXARIFE;SOLTEIRO(A);;
F;37;1362;ALMOXARIFE;SOLTEIRO(A);;
M;27;2224;ALMOXARIFE;SOLTEIRO(A);;
M;36;2139;ALMOXARIFE;SOLTEIRO(A);;
M;19;1813;ALMOXARIFE;SOLTEIRO(A);;
M;34;1362;ALMOXARIFE;SOLTEIRO(A);;
M;35;1817;ALMOXARIFE;SOLTEIRO(A);;
M;25;3670;ALMOXARIFE;SOLTEIRO(A);;
M;33;1202;ALMOXARIFE;SOLTEIRO(A);;
M;25;1611;ALMOXARIFE;SOLTEIRO(A);;
M;22;1773;ALMOXARIFE;SOLTEIRO(A);;
M;27;1966;ALMOXARIFE;CASADO(A);;
M;25;1826;ALMOXARIFE;SOLTEIRO(A);;
M;26;1573;ALMOXARIFE;SOLTEIRO(A);;
M;31;1286;ALMOXARIFE;SOLTEIRO(A);;
M;37;1478;ALMOXARIFE;CASADO(A);;
M;23;1773;ALMOXARIFE;SOLTEIRO(A);;
M;23;2038;ALMOXARIFE;SOLTEIRO(A);;
M;51;1816;ALMOXARIFE;SOLTEIRO(A);;
M;39;1027;ALMOXARIFE;SOLTEIRO(A);;
M;50;1445;ALMOXARIFE;CASADO(A);;
M;30;1451;ALMOXARIFE;SOLTEIRO(A);;
M;26;2139;ALMOXARIFE;SOLTEIRO(A);;
M;34;1413;ALMOXARIFE;SOLTEIRO(A);;
M;28;2377;ALMOXARIFE;CASADO(A);;
M;34;2139;ALMOXARIFE;SOLTEIRO(A);;
M;40;1954;ALMOXARIFE;SOLTEIRO(A);;
M;27;1901;ALMOXARIFE;SOLTEIRO(A);;
M;31;1649;ALMOXARIFE;SOLTEIRO(A);;
M;28;3314;ALMOXARIFE;SOLTEIRO(A);;
M;34;1960;ALMOXARIFE;SOLTEIRO(A);;
M;23;1611;ALMOXARIFE;SOLTEIRO(A);;
M;20;1722;ALMOXARIFE;SOLTEIRO(A);;
M;21;1611;ALMOXARIFE;SOLTEIRO(A);;
M;22;1573;ALMOXARIFE;SOLTEIRO(A);;
M;26;1649;ALMOXARIFE;SOLTEIRO(A);;
M;29;2139;ALMOXARIFE;CASADO(A);;
M;37;1202;ALMOXARIFE;SOLTEIRO(A);;
M;41;1106;ALMOXARIFE;SOLTEIRO(A);;
M;39;1016;ALMOXARIFE;SOLTEIRO(A);;
M;32;1008;ALMOXARIFE;SEPARADO(A) JUDICIALMENTE;;
M;30;1398;ALMOXARIFE;SOLTEIRO(A);;
M;48;1186;ALMOXARIFE;CASADO(A);;
M;29;1398;ALMOXARIFE;SOLTEIRO(A);;
M;35;1413;ALMOXARIFE;SOLTEIRO(A);;
M;35;6334;ANALISTA DE COMPLIANCE;SOLTEIRO(A);;
M;39;8044;ANALISTA DE COMPLIANCE;CASADO(A);;
M;46;13468;ANALISTA DE EXPORTAÇÃO E IMPORTAÇÃO;CASADO(A);;
M;46;11144;ANALISTA DE EXPORTAÇÃO E IMPORTAÇÃO;CASADO(A);;
M;42;3548;ANALISTA DE FOLHA DE PAGAMENTO;CASADO(A);;
F;31;2306;ANALISTA DE FOLHA DE PAGAMENTO;SEPARADO(A) JUDICIALMENTE;;
F;40;3674;ANALISTA DE FOLHA DE PAGAMENTO;CASADO(A);;
F;38;1791;ANALISTA DE FOLHA DE PAGAMENTO;CASADO(A);;
M;38;5323;ANALISTA DE FOLHA DE PAGAMENTO;SOLTEIRO(A);;
F;32;5829;ANALISTA DE FOLHA DE PAGAMENTO;CASADO(A);;
F;43;4310;ANALISTA DE FOLHA DE PAGAMENTO;SOLTEIRO(A);;
F;46;4310;ANALISTA DE FOLHA DE PAGAMENTO;OUTROS;;
M;38;2131;ANALISTA DE FOLHA DE PAGAMENTO;SOLTEIRO(A);;
M;41;5323;ANALISTA DE FOLHA DE PAGAMENTO;SOLTEIRO(A);;
M;39;3943;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;39;3314;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;34;4063;ANALISTA DE GESTÃO DE ESTOQUE;CASADO(A);;
M;47;3671;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;28;3671;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;39;3645;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;27;3917;ANALISTA DE GESTÃO DE ESTOQUE;CASADO(A);;
M;34;3754;ANALISTA DE GESTÃO DE ESTOQUE;CASADO(A);;
M;28;3069;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;42;4657;ANALISTA DE GESTÃO DE ESTOQUE;CASADO(A);;
M;40;4063;ANALISTA DE GESTÃO DE ESTOQUE;CASADO(A);;
M;39;2987;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;31;3314;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
M;39;3834;ANALISTA DE GESTÃO DE ESTOQUE;SOLTEIRO(A);;
F;28;4590;ANALISTA DE MÍDIAS SOCIAIS;SOLTEIRO(A);;
F;24;4619;ANALISTA DE MÍDIAS SOCIAIS;SOLTEIRO(A);;
M;34;4310;ANALISTA DE MÍDIAS SOCIAIS;SOLTEIRO(A);;
M;36;7422;ANALISTA DE NEGOCIOS;CASADO(A);;
M;51;9649;ANALISTA DE NEGOCIOS;CASADO(A);;
M;36;10629;ANALISTA DE NEGOCIOS;SOLTEIRO(A);;
M;31;6521;ANALISTA DE NEGOCIOS;CASADO(A);;
M;43;4628;ANALISTA DE NEGOCIOS;SOLTEIRO(A);;
M;36;8222;ANALISTA DE NEGOCIOS;CASADO(A);;
M;37;4777;ANALISTA DE NEGOCIOS;SOLTEIRO(A);;
M;51;3487;ANALISTA DE NEGOCIOS;CASADO(A);;
M;36;11775;ANALISTA DE NEGOCIOS;SOLTEIRO(A);;
M;35;4619;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;OUTROS;;
M;32;3108;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
M;28;3856;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
M;43;3857;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A);;
M;35;5974;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A);;
F;30;2532;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
M;47;5147;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A);;
M;39;3326;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
M;31;4623;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
F;30;2580;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
M;34;6883;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
M;34;3441;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A);;
F;29;3080;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;SOLTEIRO(A);;
M;47;6562;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A);;
M;37;4310;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A);;
M;32;6883;ANALISTA DE PLANEJAMENTO DE MANUTENCAO;CASADO(A);;
M;37;13643;ANALISTA DE PLANEJAMENTO DE MATERIAS;CASADO(A);;
F;46;4453;ANALISTA DE RECURSOS HUMANOS;CASADO(A);;
F;38;5593;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;37;6334;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;31;4956;ANALISTA DE RECURSOS HUMANOS;CASADO(A);;
F;34;4295;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;31;3216;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;38;7172;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;34;3966;ANALISTA DE RECURSOS HUMANOS;CASADO(A);;
F;34;4467;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;30;4956;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;34;2937;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;42;3043;ANALISTA DE RECURSOS HUMANOS;CASADO(A);;
F;34;3001;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;47;3584;ANALISTA DE RECURSOS HUMANOS;CASADO(A);;
M;34;4590;ANALISTA DE RECURSOS HUMANOS;SOLTEIRO(A);;
F;46;2937;ANALISTA DE RECURSOS HUMANOS;CASADO(A);;
M;41;6840;ANALISTA DE SISTEMA;CASADO(A);;
M;46;4223;ANALISTA DE SISTEMA;CASADO(A);;
M;54;6334;ANALISTA DE SISTEMA;CASADO(A);;
M;29;3372;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;52;4724;ANALISTA DE SISTEMA;CASADO(A);;
M;52;8066;ANALISTA DE SISTEMA;CASADO(A);;
M;52;8936;ANALISTA DE SISTEMA;CASADO(A);;
M;21;3080;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;36;2565;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;38;4914;ANALISTA DE SISTEMA;CASADO(A);;
M;40;2330;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;39;3622;ANALISTA DE SISTEMA;CASADO(A);;
M;54;6840;ANALISTA DE SISTEMA;CASADO(A);;
M;50;3304;ANALISTA DE SISTEMA;SOLTEIRO(A);;
F;43;4360;ANALISTA DE SISTEMA;CASADO(A);;
M;32;4590;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;38;5607;ANALISTA DE SISTEMA;CASADO(A);;
M;28;2091;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;33;2403;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;50;7114;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;40;4998;ANALISTA DE SISTEMA;SOLTEIRO(A);;
M;29;1760;ANALISTA DE SISTEMA;CASADO(A);;
M;35;5362;ANALISTA DE SUPORTE COMPUTACIO;SOLTEIRO(A);;
M;39;9812;ANOTADOR DE PRODUCAO;CASADO(A);;
F;37;3754;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;26;1756;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;33;3622;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;23;2857;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;31;2224;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;41;3128;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;31;2000;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;20;2559;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;26;2025;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;43;3213;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;37;2456;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;34;1418;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;74;1721;ASSISTENTE ADMINISTRATIVO;DESQUITADO(A);;
M;50;2419;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;36;1969;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;40;1567;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;33;3293;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;42;4235;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;30;1749;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;32;1981;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;41;2401;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;29;1711;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;32;2734;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;34;1907;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;39;2603;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;53;3060;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;25;3326;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;38;1645;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;27;4063;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;41;2040;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;44;2715;ASSISTENTE ADMINISTRATIVO;SEPARADO(A) JUDICIALMENTE;;
M;29;1542;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;40;1693;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;38;1742;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;45;5160;ASSISTENTE ADMINISTRATIVO;DESQUITADO(A);;
F;33;2410;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;29;3622;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;40;2421;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;21;2025;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;21;2232;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;34;1901;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;34;5378;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;22;2153;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;41;2267;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;21;1971;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;23;2660;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;26;2273;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;41;3707;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;36;2329;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;32;3424;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;21;2491;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;23;2145;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;39;4223;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;35;6778;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;40;3857;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;45;4590;ASSISTENTE ADMINISTRATIVO;SEPARADO(A) JUDICIALMENTE;;
F;35;7509;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;38;2493;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;42;1775;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;47;1659;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;54;2655;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;1526;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;74;1920;ASSISTENTE ADMINISTRATIVO;DESQUITADO(A);;
F;33;1495;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;37;1939;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;36;1929;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;47;4100;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;49;3446;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;59;1775;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;50;1312;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;36;1682;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;43;2062;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;33;2239;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;36;1863;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;26;3671;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;43;1397;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;41;1010;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;40;1480;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;33;1291;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;62;2321;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;33;1621;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;34;1494;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;54;3448;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;52;1439;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;1628;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;37;1398;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;42;1792;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;29;2603;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;32;1493;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;43;3232;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;37;2145;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;25;1443;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;1892;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;34;4897;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;32;1621;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;41;2094;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;43;3368;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;37;1413;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;29;2800;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;28;2548;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;51;3060;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;26;3917;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;55;1664;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;45;3372;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;39;1820;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;32;2903;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;47;3281;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;35;2372;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;40;2403;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;30;2521;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;32;3857;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;26;3314;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;26;2145;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;40;3744;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;24;2660;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;23;2463;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;33;1693;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;28;3857;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;34;5958;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;27;2232;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;24;2025;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;33;2526;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;21;2346;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;34;1981;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;42;2000;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;47;1626;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;56;1319;ASSISTENTE ADMINISTRATIVO;OUTROS;;
F;47;3969;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;1567;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;2219;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;39;1202;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;55;8022;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;36;1418;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;35;1261;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;51;2085;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;31;1312;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;42;4223;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;24;2643;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;37;3000;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;51;3128;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;51;2824;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;44;6783;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;37;1659;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;39;1394;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;44;1924;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;35;1309;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;43;1565;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;1421;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;36;1649;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
M;29;1825;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;42;2349;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;43;1430;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;33;1843;ASSISTENTE ADMINISTRATIVO;SEPARADO(A) JUDICIALMENTE;;
F;43;2377;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;32;2347;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;31;1907;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;21;3080;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
F;31;3347;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;36;2565;ASSISTENTE ADMINISTRATIVO;CASADO(A);;
F;41;3857;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;39;1360;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
M;30;1825;ASSISTENTE ADMINISTRATIVO;SOLTEIRO(A);;
