ETNIA;DESCRICAO
235;WAIAPI(WAYAMPI, OYAMPI, WAYAPY)
236;WAIMIRI ATROARI (KINA)
237;WANANO (UANANO, WANANA)
238;WAPIXANA (UAPIXANA, VAPIDIANA, WAPISIANA, WAPISHANA)
239;WAREKENA (UAREQUENA, WEREKENA)
240;WASSU
241;WAURA(UAURA, WAUJA)
242;WAYANA(WAIANA, UAIANA)
243;WITOTO(UITOTO, HUITOTO)
244;XAKRIABA(XACRIABA)
245;XAVANTE (AUWE, AKWE, AWEN, AKWEN)
246;XERENTE (AKWE, AWEN, AKWEN)
247;XETA
248;XIPAIA( SHIPAYA, XIPAYA)
249;XOKLENG(SHOKLENG, XOCLENG)
250;XOKO(XOCO, CHOCO)
251;XUKURU(XUCURU)
252;XUKURU KARIRI(XUCURUKARIRI)
253;YAIPIYANA
254;YAMINAWA(JAMINAWA, IAMINAWA)
255;YANOMAMI NINAM(IANOMAMI, IANOAMA, XIRIANA)
256;YANOMAMI SANUMA(IANOMAMI, IANOAMA, XIRIANA)
257;YANOMAMI YANOMAM(IANOMAMI, IANOAMA, XIRIANA)
258;YAWALAPITI(IAUALAPITI)
259;YAWANAWA(IAUANAUA)
260;YEKUANA (MAIONGON, YEKUANA, YEKWANA, MAYONGONG)
261;YUDJA(JURUNA, YURUNA)
262;ZOE (POTURU)
263;ZORO(PAGEYN)
264;ZURUAHA(SOROWAHA, SURUWAHA)
